developer_name,developer_id,Domain,frequency
palukku,37398281,Databases-Backup and Recovery,1
oops-shlok,83498152,Data Structure-Search Algorithms,1
oops-shlok,83498152,Event Handling,1
oops-shlok,83498152,Software Development and IT Operations-Configuration Management,1
nk-31012002,102040326,Data Structure-Data Sorting,1
nk-31012002,102040326,Event Handling,1
nk-31012002,102040326,Software Development and IT Operations-Configuration Management,1
mulla028,138519917,Event Handling,2
mulla028,138519917,Software Development and IT Operations-Configuration Management,2
mulla028,138519917,Data Structure-Data Sorting,1
mulla028,138519917,Data Structure-Search Algorithms,1
mlep,6931104,Data Structure-Data Sorting,1
mlep,6931104,Event Handling,1
mlep,6931104,Software Development and IT Operations-Configuration Management,1
mkdjr,61061178,Data Structure-Data Sorting,1
mkdjr,61061178,Event Handling,1
mkdjr,61061178,Software Development and IT Operations-Configuration Management,1
messiem,20669862,Data Structure-Data Sorting,1
messiem,20669862,Event Handling,1
messiem,20669862,Software Development and IT Operations-Configuration Management,1
melisolmez,77929541,Data Structure-Search Algorithms,1
melisolmez,77929541,Event Handling,1
melisolmez,77929541,Software Development and IT Operations-Configuration Management,1
maxaik,117411116,Application-Version Control,1
maxaik,117411116,Databases-Backup and Recovery,1
maxaik,117411116,Software Development and IT Operations-Configuration Management,1
marwanemad07,126268941,Event Handling,5
marwanemad07,126268941,Software Development and IT Operations-Configuration Management,5
marwanemad07,126268941,Data Structure-Data Sorting,4
marwanemad07,126268941,Data Structure-Search Algorithms,1
mag-sun,177601637,Data Structure-Data Sorting,1
mag-sun,177601637,Event Handling,1
mag-sun,177601637,Software Development and IT Operations-Configuration Management,1
madanhk18,109542799,Data Structure-Data Sorting,2
madanhk18,109542799,Event Handling,2
madanhk18,109542799,Software Development and IT Operations-Configuration Management,2
lzmmxh,149454746,Event Handling,9
lzmmxh,149454746,Software Development and IT Operations-Configuration Management,9
lzmmxh,149454746,Data Structure-Data Sorting,8
lzmmxh,149454746,Data Structure-Search Algorithms,1
luks-santos,57961643,Data Structure-Data Sorting,2
luks-santos,57961643,Event Handling,2
luks-santos,57961643,Software Development and IT Operations-Configuration Management,2
luca-ferrigno,128232429,Data Structure-Data Sorting,1
luca-ferrigno,128232429,Event Handling,1
luca-ferrigno,128232429,Software Development and IT Operations-Configuration Management,1
lllllllittlesun,142676664,Data Structure-Search Algorithms,1
lllllllittlesun,142676664,Event Handling,1
lllllllittlesun,142676664,Software Development and IT Operations-Configuration Management,1
lionfood,108174379,Event Handling,2
lionfood,108174379,Software Development and IT Operations-Configuration Management,2
lionfood,108174379,Data Structure-Data Sorting,1
lionfood,108174379,Databases-Backup and Recovery,1
leaf-soba,179081822,Event Handling,11
leaf-soba,179081822,Software Development and IT Operations-Configuration Management,11
leaf-soba,179081822,Data Structure-Data Sorting,6
leaf-soba,179081822,Data Structure-Search Algorithms,5
lareinahu-2023,145450040,Application-Version Control,1
lareinahu-2023,145450040,Databases-Backup and Recovery,1
lareinahu-2023,145450040,Software Development and IT Operations-Configuration Management,1
lalaly24,196407532,Data Structure-Search Algorithms,1
lalaly24,196407532,Event Handling,1
lalaly24,196407532,Software Development and IT Operations-Configuration Management,1
laky241,181271472,Software Development and IT Operations-Configuration Management,9
laky241,181271472,Data Structure-Data Sorting,5
laky241,181271472,Event Handling,5
laky241,181271472,Application-Version Control,4
laky241,181271472,Databases-Backup and Recovery,4
koppor,1366654,Software Development and IT Operations-Configuration Management,250
koppor,1366654,Event Handling,208
koppor,1366654,Data Structure-Data Sorting,142
koppor,1366654,Data Structure-Search Algorithms,59
koppor,1366654,Databases-Backup and Recovery,49
koppor,1366654,Application-Version Control,42
kjswaruph,121663328,Data Structure-Data Sorting,1
kjswaruph,121663328,Event Handling,1
kjswaruph,121663328,Software Development and IT Operations-Configuration Management,1
kaushikaW,91740359,Data Structure-Data Sorting,2
kaushikaW,91740359,Event Handling,2
kaushikaW,91740359,Software Development and IT Operations-Configuration Management,2
juliusalberto,57690582,Event Handling,3
juliusalberto,57690582,Software Development and IT Operations-Configuration Management,3
juliusalberto,57690582,Data Structure-Data Sorting,2
juliusalberto,57690582,Data Structure-Search Algorithms,1
jspitz,4538783,Data Structure-Data Sorting,1
jspitz,4538783,Event Handling,1
jspitz,4538783,Software Development and IT Operations-Configuration Management,1
jorgman1,48908520,Application-Version Control,1
jorgman1,48908520,Databases-Backup and Recovery,1
jorgman1,48908520,Software Development and IT Operations-Configuration Management,1
jnchin314,39833319,Data Structure-Data Sorting,1
jnchin314,39833319,Event Handling,1
jnchin314,39833319,Software Development and IT Operations-Configuration Management,1
jerryyummy,62087610,Data Structure-Data Sorting,1
jerryyummy,62087610,Event Handling,1
jerryyummy,62087610,Software Development and IT Operations-Configuration Management,1
jeirf12,23533253,Data Structure-Data Sorting,1
jeirf12,23533253,Event Handling,1
jeirf12,23533253,Software Development and IT Operations-Configuration Management,1
jabref-machine,145191396,Application-Version Control,2
jabref-machine,145191396,Databases-Backup and Recovery,2
jabref-machine,145191396,Software Development and IT Operations-Configuration Management,2
ivobubenko,139141084,Data Structure-Data Sorting,1
ivobubenko,139141084,Event Handling,1
ivobubenko,139141084,Software Development and IT Operations-Configuration Management,1
ityyrm,151578808,Data Structure-Data Sorting,2
ityyrm,151578808,Event Handling,2
ityyrm,151578808,Software Development and IT Operations-Configuration Management,2
imCal3b,100223220,Data Structure-Data Sorting,1
imCal3b,100223220,Event Handling,1
imCal3b,100223220,Software Development and IT Operations-Configuration Management,1
ilippert,20518297,Software Development and IT Operations-Configuration Management,6
ilippert,20518297,Data Structure-Data Sorting,5
ilippert,20518297,Event Handling,5
ilippert,20518297,Application-Version Control,1
ilippert,20518297,Databases-Backup and Recovery,1
homocomputeris,7422433,Data Structure-Data Sorting,1
homocomputeris,7422433,Event Handling,1
homocomputeris,7422433,Software Development and IT Operations-Configuration Management,1
hitalo-siriano,122159146,Application-Version Control,2
hitalo-siriano,122159146,Databases-Backup and Recovery,2
hitalo-siriano,122159146,Software Development and IT Operations-Configuration Management,2
harry924,178296324,Data Structure-Data Sorting,1
harry924,178296324,Event Handling,1
harry924,178296324,Software Development and IT Operations-Configuration Management,1
haitham404,155358634,Data Structure-Data Sorting,2
haitham404,155358634,Event Handling,2
haitham404,155358634,Software Development and IT Operations-Configuration Management,2
greg-at-moderne,192309513,Data Structure-Data Sorting,1
greg-at-moderne,192309513,Event Handling,1
greg-at-moderne,192309513,Software Development and IT Operations-Configuration Management,1
gepetton,65392430,Data Structure-Data Sorting,2
gepetton,65392430,Event Handling,2
gepetton,65392430,Software Development and IT Operations-Configuration Management,2
genseirin,1910838,Data Structure-Data Sorting,1
genseirin,1910838,Event Handling,1
genseirin,1910838,Software Development and IT Operations-Configuration Management,1
gabenogu,183111074,Data Structure-Data Sorting,1
gabenogu,183111074,Event Handling,1
gabenogu,183111074,Software Development and IT Operations-Configuration Management,1
felicitasmaia,150655039,Data Structure-Search Algorithms,1
felicitasmaia,150655039,Event Handling,1
felicitasmaia,150655039,Software Development and IT Operations-Configuration Management,1
evilbc,77800188,Data Structure-Data Sorting,1
evilbc,77800188,Event Handling,1
evilbc,77800188,Software Development and IT Operations-Configuration Management,1
eslamnumber,106870298,Data Structure-Data Sorting,1
eslamnumber,106870298,Event Handling,1
eslamnumber,106870298,Software Development and IT Operations-Configuration Management,1
emmdmin1,95586723,Data Structure-Data Sorting,1
emmdmin1,95586723,Event Handling,1
emmdmin1,95586723,Software Development and IT Operations-Configuration Management,1
distressingly,133924148,Data Structure-Data Sorting,1
distressingly,133924148,Event Handling,1
distressingly,133924148,Software Development and IT Operations-Configuration Management,1
dependabot[bot],49699333,Software Development and IT Operations-Configuration Management,224
dependabot[bot],49699333,Event Handling,208
dependabot[bot],49699333,Data Structure-Data Sorting,187
dependabot[bot],49699333,Databases-Backup and Recovery,25
dependabot[bot],49699333,Application-Version Control,18
dependabot[bot],49699333,Data Structure-Search Algorithms,16
dennisarimi,35450946,Data Structure-Data Sorting,1
dennisarimi,35450946,Event Handling,1
dennisarimi,35450946,Software Development and IT Operations-Configuration Management,1
damgam0288,94230112,Data Structure-Data Sorting,2
damgam0288,94230112,Event Handling,2
damgam0288,94230112,Software Development and IT Operations-Configuration Management,2
calixtus,50491877,Software Development and IT Operations-Configuration Management,12
calixtus,50491877,Event Handling,11
calixtus,50491877,Data Structure-Data Sorting,7
calixtus,50491877,Data Structure-Search Algorithms,4
calixtus,50491877,Application-Version Control,1
calixtus,50491877,Databases-Backup and Recovery,1
benlevycmp,69273223,Event Handling,2
benlevycmp,69273223,Software Development and IT Operations-Configuration Management,2
benlevycmp,69273223,Data Structure-Data Sorting,1
benlevycmp,69273223,Data Structure-Search Algorithms,1
arshchawla21,150571042,Data Structure-Data Sorting,1
arshchawla21,150571042,Event Handling,1
arshchawla21,150571042,Software Development and IT Operations-Configuration Management,1
arraymahdi,180158949,Data Structure-Search Algorithms,1
arraymahdi,180158949,Event Handling,1
arraymahdi,180158949,Software Development and IT Operations-Configuration Management,1
ar-rana,140689703,Data Structure-Data Sorting,3
ar-rana,140689703,Event Handling,3
ar-rana,140689703,Software Development and IT Operations-Configuration Management,3
antPinot,112113750,Data Structure-Data Sorting,1
antPinot,112113750,Event Handling,1
antPinot,112113750,Software Development and IT Operations-Configuration Management,1
almada39,147427386,Data Structure-Data Sorting,1
almada39,147427386,Event Handling,1
almada39,147427386,Software Development and IT Operations-Configuration Management,1
aleeraudales,178917839,Data Structure-Search Algorithms,1
aleeraudales,178917839,Event Handling,1
aleeraudales,178917839,Software Development and IT Operations-Configuration Management,1
agondekova,183761093,Application-Version Control,1
agondekova,183761093,Databases-Backup and Recovery,1
agondekova,183761093,Software Development and IT Operations-Configuration Management,1
adambash12,177791593,Data Structure-Data Sorting,1
adambash12,177791593,Event Handling,1
adambash12,177791593,Software Development and IT Operations-Configuration Management,1
Zurtar,29875071,Data Structure-Data Sorting,3
Zurtar,29875071,Event Handling,3
Zurtar,29875071,Software Development and IT Operations-Configuration Management,3
Yubo-Cao,79431291,Data Structure-Data Sorting,3
Yubo-Cao,79431291,Event Handling,3
Yubo-Cao,79431291,Software Development and IT Operations-Configuration Management,3
XYZ567AB,185375402,Data Structure-Data Sorting,1
XYZ567AB,185375402,Event Handling,1
XYZ567AB,185375402,Software Development and IT Operations-Configuration Management,1
Uchswas,19565049,Application-Version Control,1
Uchswas,19565049,Databases-Backup and Recovery,1
Uchswas,19565049,Software Development and IT Operations-Configuration Management,1
Thomas-Bridgart,177694180,Data Structure-Data Sorting,2
Thomas-Bridgart,177694180,Event Handling,2
Thomas-Bridgart,177694180,Software Development and IT Operations-Configuration Management,2
ThiloteE,73715071,Event Handling,6
ThiloteE,73715071,Software Development and IT Operations-Configuration Management,6
ThiloteE,73715071,Data Structure-Data Sorting,4
ThiloteE,73715071,Data Structure-Search Algorithms,1
ThiloteE,73715071,Databases-Backup and Recovery,1
Stewori,4356260,Data Structure-Data Sorting,1
Stewori,4356260,Event Handling,1
Stewori,4356260,Software Development and IT Operations-Configuration Management,1
SihasA,161597315,Data Structure-Data Sorting,2
SihasA,161597315,Event Handling,2
SihasA,161597315,Software Development and IT Operations-Configuration Management,2
Siedlerchr,320228,Software Development and IT Operations-Configuration Management,129
Siedlerchr,320228,Databases-Backup and Recovery,83
Siedlerchr,320228,Application-Version Control,82
Siedlerchr,320228,Event Handling,47
Siedlerchr,320228,Data Structure-Data Sorting,32
Siedlerchr,320228,Data Structure-Search Algorithms,14
ShunL12324,30139978,Data Structure-Data Sorting,1
ShunL12324,30139978,Event Handling,1
ShunL12324,30139978,Software Development and IT Operations-Configuration Management,1
Satyamkumarnavneet,76639713,Software Development and IT Operations-Configuration Management,3
Satyamkumarnavneet,76639713,Data Structure-Data Sorting,2
Satyamkumarnavneet,76639713,Event Handling,2
Satyamkumarnavneet,76639713,Application-Version Control,1
Satyamkumarnavneet,76639713,Databases-Backup and Recovery,1
SamyakBhaware,123289857,Data Structure-Data Sorting,1
SamyakBhaware,123289857,Event Handling,1
SamyakBhaware,123289857,Software Development and IT Operations-Configuration Management,1
Rydzard,99145695,Data Structure-Search Algorithms,1
Rydzard,99145695,Event Handling,1
Rydzard,99145695,Software Development and IT Operations-Configuration Management,1
RiddheshRajwadkar,92072583,Data Structure-Data Sorting,2
RiddheshRajwadkar,92072583,Event Handling,2
RiddheshRajwadkar,92072583,Software Development and IT Operations-Configuration Management,2
Red12138-java,177503327,Data Structure-Data Sorting,1
Red12138-java,177503327,Event Handling,1
Red12138-java,177503327,Software Development and IT Operations-Configuration Management,1
RapidShotzz,161597359,Data Structure-Data Sorting,1
RapidShotzz,161597359,Event Handling,1
RapidShotzz,161597359,Software Development and IT Operations-Configuration Management,1
Rajas55,80874943,Data Structure-Data Sorting,1
Rajas55,80874943,Event Handling,1
Rajas55,80874943,Software Development and IT Operations-Configuration Management,1
RabidGhost,39331303,Data Structure-Data Sorting,3
RabidGhost,39331303,Event Handling,3
RabidGhost,39331303,Software Development and IT Operations-Configuration Management,3
R-Zhou4,176736894,Data Structure-Data Sorting,1
R-Zhou4,176736894,Event Handling,1
R-Zhou4,176736894,Software Development and IT Operations-Configuration Management,1
PressJump,40802367,Data Structure-Data Sorting,2
PressJump,40802367,Event Handling,2
PressJump,40802367,Software Development and IT Operations-Configuration Management,2
Paras-Gupta16,149298803,Data Structure-Data Sorting,3
Paras-Gupta16,149298803,Event Handling,3
Paras-Gupta16,149298803,Software Development and IT Operations-Configuration Management,3
Oscar2343,114583270,Data Structure-Search Algorithms,1
Oscar2343,114583270,Event Handling,1
Oscar2343,114583270,Software Development and IT Operations-Configuration Management,1
Officialshubham,42817026,Data Structure-Data Sorting,1
Officialshubham,42817026,Event Handling,1
Officialshubham,42817026,Software Development and IT Operations-Configuration Management,1
NoahXu718,177101165,Data Structure-Search Algorithms,1
NoahXu718,177101165,Event Handling,1
NoahXu718,177101165,Software Development and IT Operations-Configuration Management,1
Noah-Martin1,175284315,Data Structure-Data Sorting,1
Noah-Martin1,175284315,Event Handling,1
Noah-Martin1,175284315,Software Development and IT Operations-Configuration Management,1
Nicholas-An,177703817,Data Structure-Data Sorting,1
Nicholas-An,177703817,Event Handling,1
Nicholas-An,177703817,Software Development and IT Operations-Configuration Management,1
NeymanDmitry,144049425,Data Structure-Data Sorting,2
NeymanDmitry,144049425,Event Handling,2
NeymanDmitry,144049425,Software Development and IT Operations-Configuration Management,2
Nagarjuna325,64583744,Databases-Backup and Recovery,1
Nagarjuna325,64583744,Event Handling,1
Nagarjuna325,64583744,Software Development and IT Operations-Configuration Management,1
Naaeeen,99235571,Data Structure-Data Sorting,1
Naaeeen,99235571,Event Handling,1
Naaeeen,99235571,Software Development and IT Operations-Configuration Management,1
NEBANU,185495345,Data Structure-Data Sorting,1
NEBANU,185495345,Event Handling,1
NEBANU,185495345,Software Development and IT Operations-Configuration Management,1
Mtjpp,58153153,Databases-Backup and Recovery,1
Mtjpp,58153153,Event Handling,1
Mtjpp,58153153,Software Development and IT Operations-Configuration Management,1
MrunalKashid02,95683323,Data Structure-Search Algorithms,1
MrunalKashid02,95683323,Event Handling,1
MrunalKashid02,95683323,Software Development and IT Operations-Configuration Management,1
MiguelCBar,151154806,Data Structure-Data Sorting,1
MiguelCBar,151154806,Event Handling,1
MiguelCBar,151154806,Software Development and IT Operations-Configuration Management,1
MhammedAhmmed,146931429,Data Structure-Data Sorting,3
MhammedAhmmed,146931429,Event Handling,3
MhammedAhmmed,146931429,Software Development and IT Operations-Configuration Management,3
MattBryantt,122334627,Application-Version Control,1
MattBryantt,122334627,Databases-Backup and Recovery,1
MattBryantt,122334627,Software Development and IT Operations-Configuration Management,1
Marika-Academic,61723414,Data Structure-Data Sorting,1
Marika-Academic,61723414,Event Handling,1
Marika-Academic,61723414,Software Development and IT Operations-Configuration Management,1
Mahmoudovic26,78923430,Data Structure-Data Sorting,1
Mahmoudovic26,78923430,Event Handling,1
Mahmoudovic26,78923430,Software Development and IT Operations-Configuration Management,1
MadDingzhen,143514319,Data Structure-Data Sorting,2
MadDingzhen,143514319,Event Handling,2
MadDingzhen,143514319,Software Development and IT Operations-Configuration Management,2
Luram123,158583418,Data Structure-Data Sorting,1
Luram123,158583418,Event Handling,1
Luram123,158583418,Software Development and IT Operations-Configuration Management,1
LogCreative,61653082,Event Handling,2
LogCreative,61653082,Software Development and IT Operations-Configuration Management,2
LogCreative,61653082,Data Structure-Data Sorting,1
LogCreative,61653082,Databases-Backup and Recovery,1
LoayGhreeb,52158423,Software Development and IT Operations-Configuration Management,11
LoayGhreeb,52158423,Event Handling,9
LoayGhreeb,52158423,Data Structure-Data Sorting,8
LoayGhreeb,52158423,Application-Version Control,2
LoayGhreeb,52158423,Databases-Backup and Recovery,2
LoayGhreeb,52158423,Data Structure-Search Algorithms,1
LinusDietz,1254003,Data Structure-Data Sorting,1
LinusDietz,1254003,Event Handling,1
LinusDietz,1254003,Software Development and IT Operations-Configuration Management,1
Lin-Hi,82144027,Software Development and IT Operations-Configuration Management,3
Lin-Hi,82144027,Data Structure-Data Sorting,2
Lin-Hi,82144027,Event Handling,2
Lin-Hi,82144027,Application-Version Control,1
Lin-Hi,82144027,Databases-Backup and Recovery,1
KumaLuo,146911309,Data Structure-Data Sorting,1
KumaLuo,146911309,Event Handling,1
KumaLuo,146911309,Software Development and IT Operations-Configuration Management,1
Kevan668,109893533,Data Structure-Search Algorithms,1
Kevan668,109893533,Event Handling,1
Kevan668,109893533,Software Development and IT Operations-Configuration Management,1
Kaan0029,184455295,Software Development and IT Operations-Configuration Management,3
Kaan0029,184455295,Data Structure-Data Sorting,2
Kaan0029,184455295,Event Handling,2
Kaan0029,184455295,Application-Version Control,1
Kaan0029,184455295,Databases-Backup and Recovery,1
JxCl-L,178872449,Data Structure-Data Sorting,1
JxCl-L,178872449,Event Handling,1
JxCl-L,178872449,Software Development and IT Operations-Configuration Management,1
JorECardenas,173187074,Data Structure-Data Sorting,1
JorECardenas,173187074,Event Handling,1
JorECardenas,173187074,Software Development and IT Operations-Configuration Management,1
JihwanByun,156163390,Data Structure-Data Sorting,1
JihwanByun,156163390,Event Handling,1
JihwanByun,156163390,Software Development and IT Operations-Configuration Management,1
JasonXuDeveloper,48086348,Data Structure-Search Algorithms,1
JasonXuDeveloper,48086348,Event Handling,1
JasonXuDeveloper,48086348,Software Development and IT Operations-Configuration Management,1
JamseBonde007,48349316,Data Structure-Search Algorithms,1
JamseBonde007,48349316,Event Handling,1
JamseBonde007,48349316,Software Development and IT Operations-Configuration Management,1
IvanPetkov23,87123100,Data Structure-Search Algorithms,2
IvanPetkov23,87123100,Event Handling,2
IvanPetkov23,87123100,Software Development and IT Operations-Configuration Management,2
InAnYan,13097618,Software Development and IT Operations-Configuration Management,27
InAnYan,13097618,Event Handling,26
InAnYan,13097618,Data Structure-Data Sorting,17
InAnYan,13097618,Data Structure-Search Algorithms,8
InAnYan,13097618,Databases-Backup and Recovery,2
InAnYan,13097618,Application-Version Control,1
Imran8125,142161250,Data Structure-Data Sorting,1
Imran8125,142161250,Event Handling,1
Imran8125,142161250,Software Development and IT Operations-Configuration Management,1
HoussemNasri,21198231,Event Handling,3
HoussemNasri,21198231,Software Development and IT Operations-Configuration Management,3
HoussemNasri,21198231,Data Structure-Data Sorting,2
HoussemNasri,21198231,Data Structure-Search Algorithms,1
HeroxHeruxum,56359254,Data Structure-Data Sorting,1
HeroxHeruxum,56359254,Event Handling,1
HeroxHeruxum,56359254,Software Development and IT Operations-Configuration Management,1
HaynesCrossley-ANU,145413563,Data Structure-Search Algorithms,1
HaynesCrossley-ANU,145413563,Event Handling,1
HaynesCrossley-ANU,145413563,Software Development and IT Operations-Configuration Management,1
GuilhermeRibeiroPereira,134320158,Data Structure-Search Algorithms,1
GuilhermeRibeiroPereira,134320158,Event Handling,1
GuilhermeRibeiroPereira,134320158,Software Development and IT Operations-Configuration Management,1
GriffinCostello,94479733,Data Structure-Data Sorting,2
GriffinCostello,94479733,Event Handling,2
GriffinCostello,94479733,Software Development and IT Operations-Configuration Management,2
GDeane,90437591,Data Structure-Data Sorting,1
GDeane,90437591,Event Handling,1
GDeane,90437591,Software Development and IT Operations-Configuration Management,1
FeiLi-lab,177803970,Data Structure-Data Sorting,1
FeiLi-lab,177803970,Event Handling,1
FeiLi-lab,177803970,Software Development and IT Operations-Configuration Management,1
Enivex,2191754,Event Handling,4
Enivex,2191754,Software Development and IT Operations-Configuration Management,4
Enivex,2191754,Data Structure-Search Algorithms,2
Enivex,2191754,Data Structure-Data Sorting,1
Enivex,2191754,Databases-Backup and Recovery,1
DrSilverDragon,167173157,Data Structure-Data Sorting,1
DrSilverDragon,167173157,Event Handling,1
DrSilverDragon,167173157,Software Development and IT Operations-Configuration Management,1
Donald-0017,129425686,Data Structure-Search Algorithms,1
Donald-0017,129425686,Event Handling,1
Donald-0017,129425686,Software Development and IT Operations-Configuration Management,1
Doc73,1306260,Data Structure-Data Sorting,1
Doc73,1306260,Event Handling,1
Doc73,1306260,Software Development and IT Operations-Configuration Management,1
DenizAltunkapan,93663085,Data Structure-Search Algorithms,1
